img,num_corners,colorfulness,imdbId,Title,Poster,year,is_history,is_family,is_scifi,is_adult,is_crime,is_sport,is_short,is_war,is_western,is_biography,is_action,is_gameshow,is_animation,is_romance,is_music,is_documentary,is_comedy,is_thriller,is_talkshow,is_adventure,is_mystery,is_filmnoir,is_horror,is_musical,is_fantasy,is_realitytv,is_news,is_drama,decade
action_posters/all/00s/1131748.jpg,60,49.37252259395869,1131748,Prison Break: The Final Break (2009),"https://images-na.ssl-images-amazon.com/images/M/MV5BNzI0ODEzNTc1M15BMl5BanBnXkFtZTgwNjAyMjA2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg",2009.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,00s
action_posters/all/00s/1136683.jpg,104,31.18804247123798,1136683,100 Million BC (2008),"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMzcwMTEzNl5BMl5BanBnXkFtZTcwMTA2MzM3MQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",2008.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,00s
action_posters/all/00s/1138457.jpg,122,36.571691200269065,1138457,Once Upon a Time in Corea (2008),"https://images-na.ssl-images-amazon.com/images/M/MV5BN2RhNjI5ODYtYTA3Yi00YzU0LWFmM2QtZjM2YWYzMTRlNjc4XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_UY268_CR3,0,182,268_AL_.jpg",2008.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,00s
action_posters/all/00s/1148277.jpg,121,40.795828445182345,1148277,Monster (2008),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NjIxNTg5N15BMl5BanBnXkFtZTcwNzE0NzAzOA@@._V1_UY268_CR1,0,182,268_AL_.jpg",2008.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,00s
action_posters/all/00s/1156444.jpg,100,29.32446595352672,1156444,Triad Wars (2008),"https://images-na.ssl-images-amazon.com/images/M/MV5BOTc2NjQyMzA5Nl5BMl5BanBnXkFtZTcwOTU4NDY3OA@@._V1_UY268_CR2,0,182,268_AL_.jpg",2008.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,00s
action_posters/all/00s/1183733.jpg,121,92.48559915080352,1183733,War of the Worlds 2: The Next Wave (2008),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyODE1NDM4Ml5BMl5BanBnXkFtZTcwNDcxMTA3MQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",2008.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,00s
action_posters/all/00s/1183908.jpg,41,27.00289291237292,1183908,New Town Killers (2008),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1MTUyNTQxOV5BMl5BanBnXkFtZTgwNjAyMjc0MDE@._V1_UY268_CR97,0,182,268_AL_.jpg",2008.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,00s
action_posters/all/00s/1186371.jpg,118,84.24452420016866,1186371,Fung wan II (2009),"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4Nzk5MjE3MV5BMl5BanBnXkFtZTgwODk5MjM2MDE@._V1_UY268_CR6,0,182,268_AL_.jpg",2009.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,00s
action_posters/all/00s/1186373.jpg,211,87.66033043150483,1186373,Wonder Woman (2009),"https://images-na.ssl-images-amazon.com/images/M/MV5BNzU1NmNmNTgtMTUyYS00ZmRmLTkzOWItOTY2ZWZiYjVkYzkzXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL_.jpg",2009.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,00s
action_posters/all/00s/1191121.jpg,109,74.28644095121481,1191121,Jalsa (2008),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4NTg1OTE5N15BMl5BanBnXkFtZTgwOTA0MjA2MDE@._V1_UY268_CR19,0,182,268_AL_.jpg",2008.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,00s
